URL,Địa chỉ,Đường,Phường/Xã,Quận/Huyện,Thành Phố,Giá,Diện tích sử dụng,Phòng ngủ,Nhà tắm,Pháp lý,Ngày đăng,Mã BĐS
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-gap-can-92m2-gia-tot-4-1-ty-bao-het-diamond-alnata-id22261955," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",Đường N1,Phường Sơn Kỳ,Quận Tân Phú,TPHCM,4 tỷ 99 triệu,92 m2,2,2,Hợp đồng mua bán,21/09/2023,22261955
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/bung-no-giam-gia-can-96m2-diamond-brilliant-chi-4-66-ty-bao-het-id22245957," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",Đường N1,Phường Sơn Kỳ,Quận Tân Phú,TPHCM,4 tỷ 660 triệu,96 m2,2,2,Hợp đồng mua bán,21/09/2023,22245957
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-can-96m2-bang-gia-hdmb-xem-nha-24-7-diamond-brilliant-id22276953," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",Đường N1,Phường Sơn Kỳ,Quận Tân Phú,TPHCM,4 tỷ 699 triệu,96 m2,2,2,Hợp đồng mua bán,21/09/2023,22276953
https://mogi.vn/quan-tan-phu/mua-can-ho-chung-cu/ban-gap-can-ho-85m2-2pn-khu-cao-cap-gia-soc-3-99-ty-97-nhan-nha-nga-id22269775," Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",Đường N1,Phường Sơn Kỳ,Quận Tân Phú,TPHCM,3 tỷ 999 triệu,85 m2,2,2,Hợp đồng mua bán,21/09/2023,22269775
https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-nhanh-ehome-5-can-2-phong-2wc-gia-2-5-ty-id21463058," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,TPHCM,2 tỷ 500 triệu,67 m2,2,2,Sổ hồng,20/09/2023,21463058
https://mogi.vn/huyen-binh-chanh/mua-can-ho-chung-cu/dinh-cu-ban-nhanh-can-3-phong-mia-sai-gon-gia-3-6-ty-co-noi-that-id21463386," Đường số 9A, Xã Bình Hưng, Huyện Bình Chánh, TPHCM",Đường số 9A,Xã Bình Hưng,Huyện Bình Chánh,TPHCM,3 tỷ 600 triệu,77 m2,3,2,Hợp đồng mua bán,20/09/2023,21463386
https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-ch-1pn-ehome-5-the-bridgeview-khu-nam-long-id21825471," Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, TPHCM",Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,TPHCM,2 tỷ,55 m2,1,1,Sổ hồng,20/09/2023,21825471
https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-can-ho-chung-cu-c2-72m2-duong-man-thien-phuong-hiep-phu-id22194752," Đường D1, Phường Hiệp Phú, Quận 9 (TP. Thủ Đức), TPHCM",Đường D1,Phường Hiệp Phú,Quận 9 (TP. Thủ Đức),TPHCM,1 tỷ 700 triệu,72 m2,2,1,Sổ hồng,21/09/2023,22194752
https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-nhanh-officetel-sunrise-city-gia-chi-tu-1-7-ty-id22216021," Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, TPHCM",Nguyễn Hữu Thọ,Phường Tân Hưng,Quận 7,TPHCM,1 tỷ 700 triệu,39 m2,1,1,Hợp đồng mua bán,20/09/2023,22216021
https://mogi.vn/quan-10/mua-can-ho-chung-cu/chinh-chu-can-ban-can-ho-2pn-2wc-88m2-rivera-park-quan-10-gia-re-id22329507," Thành Thái, Phường 14, Quận 10, TPHCM",Thành Thái,Phường 14,Quận 10,TPHCM,4 tỷ 900 triệu,88 m2,2,2,Hợp đồng mua bán,21/09/2023,22329507
